time_s,room_k,dock_k,sink_k,t2_k,t3_k,t4_k,t5_k,t6_k,tevap_k,tcond_k,q_room_w,q_dock_w,q_cascade_w,q_cond_w,w_air_comp_w,w_air_turb_w,w_air_input_w,w_ref_comp_w,m_ref_kg_s,cop_system,base_room_load_w,base_dock_load_w,infiltration_room_w,infiltration_dock_w,load_w,dock_load_w,newton_iterations,pid_B1_room_to_air_compressor_output,pid_B3_sink_to_condenser_output,pid_VC5_dock_to_dock_evaporator_output,pid_VC4_expansion_valve_output,pid_B4_cascade_hx_outlet_output
1535.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7850.795224877131,1961.7609056278313,9988.213845455886,15012.75486124279,30374.362146531843,23162.885658446907,12000.0,1784.3530836066018,0.011908180177523167,0.5695439733195671,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4089334078942568,6989.277607863934,1961.7609056279427,2.7770478188744114,5120.977223316548
1540.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7851.772710055073,1962.1144744682813,9989.457455906597,15012.747548685527,30378.143991292436,23165.769618193783,12000.0,1784.3515497154474,0.011908180177523167,0.5696149493675063,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.409108831081778,6989.602493393724,1962.114474468393,2.7768771051063212,5120.935763307795
1545.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7852.750195233016,1962.4680433087315,9990.70106635731,15012.740236120544,30381.92583605303,23168.65357794066,12000.0,1784.3500158227655,0.011908180177523167,0.569685925431305,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4092842542692994,6989.927378923514,1962.468043308843,2.7767063913382315,5120.894303299042
1550.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7853.727680410958,1962.8216121491816,9991.944676808022,15012.73292354787,30385.707680813623,23171.537537687534,12000.0,1784.3484819285807,0.011908180177523167,0.5697569015109618,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4094596774568207,6990.252264453304,1962.8216121492933,2.7765356775701413,5120.852843290289
1555.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7854.705165588901,1963.1751809896318,9993.188287258732,15012.72561096745,30389.489525574216,23174.42149743441,12000.0,1784.3469480328433,0.011908180177523167,0.5698278776064789,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.409635100644342,6990.577149983094,1963.1751809897435,2.776364963802051,5120.811383281535
1560.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7855.682650766842,1963.528749830082,9994.431897709443,15012.71829837931,30393.271370334805,23177.305457181283,12000.0,1784.345414135581,0.011908180177523167,0.5698988537178552,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.409810523831863,6990.902035512884,1963.5287498301936,2.7761942500339614,5120.769923272783
1565.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7856.660135944785,1963.8823186705322,9995.675508160155,15012.710985783491,30397.0532150954,23180.18941692816,12000.0,1784.3438802368298,0.011908180177523167,0.5699698298450894,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4099859470193843,6991.226921042675,1963.8823186706438,2.776023536265871,5120.728463264029
1570.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7857.637621122728,1964.2358875109824,9996.919118610866,15012.703673179902,30400.835059855995,23183.073376675035,12000.0,1784.3423463364927,0.011908180177523167,0.5700408059881853,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4101613702069056,6991.551806572465,1964.235887511094,2.775852822497781,5120.687003255276
1575.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7858.61510630067,1964.5894563514325,9998.162729061578,15012.696360568594,30404.61690461659,23185.95733642191,12000.0,1784.340812434636,0.011908180177523167,0.5701117821471403,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4103367933944269,6991.876692102255,1964.5894563515442,2.7756821087296912,5120.645543246523
1580.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7859.592591478613,1964.9430251918827,9999.40633951229,15012.689047949585,30408.398749377182,23188.841296168786,12000.0,1784.339278531274,0.011908180177523167,0.5701827583219539,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4105122165819481,6992.201577632045,1964.9430251919944,2.775511394961601,5120.60408323777
1585.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7860.570076656555,1965.2965940323331,10000.649949963,15012.681735322856,30412.180594137775,23191.725255915662,12000.0,1784.337744626376,0.011908180177523167,0.5702537345126272,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4106876397694694,6992.526463161835,1965.2965940324448,2.775340681193511,5120.562623229017
1590.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7861.547561834498,1965.650162872783,10001.893560413713,15012.67442268841,30415.96243889837,23194.60921566254,12000.0,1784.3362107199475,0.011908180177523167,0.5703247107191601,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4108630629569907,6992.851348691625,1965.6501628728947,2.775169967425421,5120.521163220264
1595.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7862.525047012441,1966.0037317132333,10003.137170864424,15012.66711004622,30419.74428365896,23197.493175409414,12000.0,1784.334676811983,0.011908180177523167,0.5703956869415531,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.411038486144512,6993.176234221415,1966.0037317133451,2.774999253657331,5120.47970321151
1600.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7863.502532190382,1966.3573005536834,10004.380781315134,15012.65979739633,30423.52612841955,23200.377135156286,12000.0,1784.333142902499,0.011908180177523167,0.570466663179805,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.411213909332033,6993.501119751206,1966.3573005537953,2.774828539889241,5120.438243202758
1605.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7864.480017368324,1966.7108693941336,10005.624391765847,15012.65248473872,30427.307973180144,23203.261094903162,12000.0,1784.3316089914874,0.011908180177523167,0.5705376394339166,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4113893325195543,6993.826005280996,1966.7108693942455,2.774657826121151,5120.3967831940045
1610.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7865.457502546267,1967.0644382345838,10006.868002216557,15012.645172073371,30431.08981794074,23206.14505465004,12000.0,1784.3300750789315,0.011908180177523167,0.5706086157038885,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4115647557070756,6994.150890810785,1967.0644382346957,2.774487112353061,5120.355323185251
1615.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7866.43498772421,1967.418007075034,10008.11161266727,15012.637859400324,30434.871662701335,23209.029014396914,12000.0,1784.3285411648617,0.011908180177523167,0.5706795919897196,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.411740178894597,6994.475776340576,1967.4180070751459,2.774316398584971,5120.313863176498
1620.0,235.1669275008502,286.2213768090037,309.64771059580255,256.69298725794135,293.29200175062454,286.2488102956718,269.8328634549694,229.62647206694152,285.22137680900374,311.12729328858967,7867.412472902152,1967.7715759154842,10009.355223117982,15012.63054671955,30438.653507461928,23211.91297414379,12000.0,1784.3270072492753,0.011908180177523167,0.5707505682914098,9500.0,4500.0,1500.0,-1500.0,11000.0,3000.0,1.0,1.4119156020821182,6994.800661870366,1967.771575915596,2.774145684816881,5120.272403167745
